Model,Correlation,MAE,RMSE,R2
Baseline (7 features),0.7009,1.2578,1.9047,0.4805
Simplified (4 features),0.7020952454826114,1.2555729976551895,1.9012271607494897,0.48240189500152
Tuned (4 features),0.7190707460777153,1.2009444951233388,1.836558120413221,0.5170145906390414
