Feature,Importance
station_numeric,0.5671968638349553
day_of_month,0.16907748335177275
hour,0.12751603725961516
day_of_week,0.07405300336539168
is_rush_hour,0.027267888563406176
weekend,0.01906728635452673
workingday,0.015821437270332184
