Model,Correlation,MAE,RMSE,R²
Random Forest (Baseline),0.7008586304982037,1.257789707515735,1.9046966412850943,0.48051107929082115
k-NN (k=10),0.5807057171610396,1.4017968653585093,2.1547769157635304,0.33514140683960836
k-NN (k=5),0.5683740403170244,1.4150166604961125,2.1941047195103773,0.3106506650632942
Decision Tree,0.5596844876765183,1.5458225348636307,2.5253643571511115,0.08678560034557048
Linear Regression,0.18974043047013428,1.7054616149294481,2.5949426424751207,0.03577101271249372
