Feature_Set,Num_Features,Correlation,MAE,RMSE,Corr_vs_Baseline_%,MAE_vs_Baseline_%
Remove is_rush_hour (6),6,0.7054122694555633,1.2498190793533261,1.8918886517487814,0.6497228912088395,-0.6337011755448059
Remove all binary indicators (4),4,0.7020952454826114,1.2555729976551895,1.9012271607494897,0.17644285603340445,-0.17623851167646165
Remove workingday (6),6,0.701349620732881,1.2575989139824757,1.9033011819893257,0.0700555309318553,-0.01516895329316011
Remove weekend (6),6,0.7010004074782893,1.257543132173269,1.9041095576289797,0.020229041052796735,-0.01960386072429166
Full (7 features),7,0.7008586304982037,1.257789707515735,1.9046966412850943,0.0,0.0
Remove weekend + workingday (5),5,0.6959499068993918,1.2658173515981734,1.9193961336723362,-0.7003871230525531,0.638234200396975
Top 3 only,3,0.6578483413470361,1.3062922374429227,2.0137494658026878,-6.136799531254099,3.856171634842303
Minimal (station + hour),2,0.6280076629491687,1.2923386943062554,2.0606662139761536,-10.394530990828942,2.7468015188928727
