Model,Correlation,MAE,RMSE,R²,Train_Time_sec,Predict_Time_sec
Random Forest,0.7008586304982037,1.2577897075157352,1.9046966412850943,0.48051107929082115,1.8181700706481934,0.18213796615600586
k-NN (k=10),0.5807057171610396,1.4017968653585093,2.1547769157635304,0.33514140683960836,0.02676677703857422,0.15984416007995605
k-NN (k=5),0.5683740403170244,1.4150166604961123,2.1941047195103773,0.3106506650632941,0.027663230895996094,0.11734199523925781
Decision Tree,0.5596844876765183,1.5458225348636307,2.5253643571511115,0.08678560034557048,0.1614851951599121,0.00939321517944336
Gradient Boosting,0.5012879295645546,1.4556033094121958,2.3049794925452955,0.23922052137478267,3.1694090366363525,0.04074597358703613
Linear Regression,0.18974043047013428,1.7054616149294481,2.5949426424751207,0.0357710127124935,0.006053924560546875,0.0007810592651367188
